label,Group,numOtus,Otu001-Roseburia inulinivorans-82.1%,*Otu002-Roseburia sp. CAG:380-78.8%*,Otu003-Roseburia intestinalis M50.1-82.5%,Otu004-Anaerostipes.strain.494a-71.2%,*Otu005-Clostridium sp. CAG:75-79.5%*,Otu006-Roseburia faecis M72-81.8%,Otu007-Roseburia faecis M72-83%,Otu008-Eubacterium rectale M104.1-80.1%,Otu009-Butyricicoccus.strain.BB10..2-85.1%,*Otu010-Roseburia sp. CAG:182-82.4%*,Otu011-Roseburia.strain.499-83.3%,*Otu012-Roseburia sp. CAG:197-86.6%*,Otu013-Roseburia.strain.831b-83%,*Otu014-Clostridium sp. CAG:299-81%*,*Otu015-Roseburia sp. CAG:197-85.7%*,Otu016-Roseburia inulinivorans-78.6%,Otu017-[Eubacterium] hallii-83.9%,*Otu018-Eubacterium sp. CAG:146-81.3%*,Otu019-Roseburia faecis M72-80.7%,Otu020-Anaerostipes butyraticus (35-7) -77.4%,Otu021-Anaerostipes.strain.992a-98.5%,Otu022-Roseburia inulinivorans RIL-183 -80.4%,Otu023-Roseburia inulinivorans-85.4%,*Otu024-Roseburia sp. CAG:309-80.3%*,Otu025-Eubacterium rectale M104.1-84.8%,Otu026-Eubacterium sp. 14.2-78.8%,*Otu027-Roseburia sp. CAG:45-86.9%*,*Otu028-Roseburia sp. CAG:197-83.6%*,Otu029-Butyricicoccus.strain.BB10..2-84.7%,Otu030-Roseburia faecis-82.4%,Otu031-Roseburia inulinivorans-83.6%,*Otu032-Roseburia sp. CAG:197-87.5%*,*Otu033-Clostridium sp. CAG:277-78.8%*,Otu034-Coprococcus catus GD.7-99.4%,Otu035-Roseburia inulinivorans DSM 16841-84.5%,*Otu036-Roseburia sp. CAG:380-79.2%*,Otu037-Coprococcus catus GD.7-75%,*Otu038-Roseburia sp. CAG:197-91.7%*,Otu039-Roseburia inulinivorans-82.1%,*Otu040-Roseburia sp. CAG:45-84.8%*,Otu041-Roseburia faecis-81.5%,Otu042-[Clostridium] cf. saccharolyticum K10-80.7%,Otu043-Roseburia inulinivorans-83.6%,Otu044-Roseburia hominis-80.7%,Otu045-Roseburia inulinivorans-84.5%,Otu046-Firmicutes bacterium CAG:466-79.7%,Otu047-Roseburia inulinivorans DSM 16841-85.4%,Otu048-Firmicutes bacterium CAG:176-84.5%,Otu049-Roseburia inulinivorans-82.4%,*Otu050-Clostridium sp. CAG:299-81.5%*,*Otu051-Clostridium sp. CAG:58-83.9%*,*Otu052-Roseburia sp. CAG:45-83.8%*,Otu053-[Ruminococcus] torques-79.4%,*Otu054-Clostridium sp. CAG:58-85.4%*,Otu055-Chlamydia trachomatis-76.2%,Otu056-Roseburia hominis-80.6%,Otu057-Eubacterium sp. 14.2-83.3%,Otu058-Roseburia inulinivorans DSM 16841-83%,Otu059-Faecalibacterium prausnitzii L2.6-80.4%,Otu060-Anaerostipes.strain.494a-100%,Otu061-Roseburia.strain.831b-100%,Otu062-Roseburia inulinivorans-83%,Otu063-Roseburia inulinivorans-82.7%,Otu064-Roseburia faecis-83.9%,Otu065-Roseburia faecis-99.7%,*Otu066-Roseburia sp. CAG:45-79.7%*,*Otu067-Clostridium sp. CAG:62-79.1%*,Otu068-Oscillibacter sp. 1.3-79.4%,Otu069-Roseburia faecis-84.8%,Otu070-Oscillibacter sp. 1.3-79.7%,*Otu071-Roseburia sp. CAG:45-81.8%*,Otu072-Firmicutes bacterium CAG:129-79.8%,Otu073-Eubacterium rectale ATCC 33656-99.4%,*Otu074-Roseburia sp. CAG:380-77.8%*,Otu075-Roseburia inulinivorans-88.1%,Otu076-Megasphaera elsdenii DSM 20460-99.1%,Otu077-Eubacterium limosum KIST612-81.3%,Otu078-Faecalibacterium cf. prausnitzii KLE1255-99.1%,Otu079-Roseburia hominis-82.1%,*Otu080-Clostridium sp. CAG:230-80.4%*,Otu081-Roseburia inulinivorans-82.4%,*Otu082-Firmicutes bacterium CAG:176-77%*,Otu083-Roseburia sp. CAG:182-87.1%,Otu084-Clostridium sp. CAG:277-92.9%,Otu085-[Clostridium] cf. saccharolyticum K10-79.5%,*Otu086-Clostridium sp. CAG:230-80.5%*,Otu087-Oscillibacter sp. 1.3-79.1%,Otu088-Butyricicoccus.strain.BB10..1-76.6%,*Otu089-Firmicutes bacterium CAG:176-86.3%*,Otu090-Firmicutes bacterium ASF500-78.5%,Otu091-Megasphaera sp. NM10-81.1%,*Otu092-Roseburia sp. CAG:197-87.2%*
0.03,PHJ18,92,0,0,84,113,0,642,24,3,0,30,6,1,1,7,1,108,0,1,3,0,15,192,19,5,0,1,16,7,2,0,1,3,5,21,27,1,0,4,0,6,0,1,0,42,0,17,22,2,0,3,1,2,2,2,0,0,19,31,0,0,1,12,3,0,1,0,4,0,3,9,0,0,1,1,11,0,5,0,0,1,0,3,0,0,1,0,1,0,2,4,0,0
0.03,PHJ62,92,337,0,0,34,0,0,0,0,0,0,1,99,16,10,367,232,0,0,0,0,0,0,2,0,88,69,4,0,0,0,14,81,0,2,0,0,0,111,0,0,0,0,0,5,0,0,0,5,0,0,0,0,9,1,0,0,0,0,0,0,4,0,8,14,15,0,0,0,0,0,0,1,14,0,4,0,0,1,0,0,5,1,0,0,0,0,2,0,0,0,0,0
0.03,PHJ7,92,0,0,1,13,0,18,14,476,44,17,131,1,29,17,0,0,5,0,238,0,5,1,7,18,5,0,34,91,22,0,1,0,13,13,1,26,2,0,32,0,10,0,31,3,25,17,23,42,13,4,17,22,14,7,0,7,6,0,0,2,0,4,7,0,0,0,0,1,6,1,4,0,0,0,0,0,3,0,2,0,0,1,1,0,1,1,0,2,2,0,2,0
0.03,PHJ71,92,944,0,0,3,0,8,6,0,0,0,63,315,0,1,29,0,0,0,0,0,0,0,1,1,1,44,0,0,0,19,1,46,0,2,9,0,0,11,0,0,28,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1
0.03,PHJ85,92,0,1,546,2,327,1,15,0,44,83,19,1,115,71,0,0,3,1,0,16,5,0,10,0,14,31,0,0,4,0,73,6,0,0,62,0,1,2,0,2,0,0,21,0,5,24,0,12,0,6,4,0,2,3,0,0,0,0,1,1,6,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
0.03,PHJ87,92,0,50,0,4,0,11,882,56,1,107,35,0,26,85,0,0,1,0,0,4,11,8,11,0,23,28,50,0,0,2,0,1,0,14,18,22,0,1,0,5,3,0,3,0,0,2,6,6,0,5,10,0,17,7,0,3,0,0,0,0,17,0,1,0,2,1,1,1,5,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0
0.03,PIJ18,92,0,0,18,541,0,89,4,0,0,110,4,0,1,9,0,19,17,65,0,0,61,78,75,112,1,0,29,36,6,7,1,0,76,6,5,10,0,0,12,28,0,29,0,24,0,3,1,0,2,8,9,6,1,2,0,0,19,4,6,2,0,1,0,0,0,3,1,0,1,1,4,2,0,2,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
0.03,PIJ62,92,584,0,0,49,0,0,1,0,0,0,0,21,37,39,64,121,0,47,0,0,7,1,5,1,121,9,20,0,5,0,10,31,0,28,0,0,1,80,0,0,0,0,0,17,0,4,0,0,0,13,3,0,6,0,99,0,0,0,0,42,0,0,7,31,11,3,0,0,0,0,0,2,14,0,3,3,0,4,0,0,7,0,1,4,0,0,0,0,0,0,0,0
0.03,PIJ7,92,0,0,2,38,0,5,3,29,109,9,116,0,22,21,0,1,68,29,16,1,16,0,15,116,1,0,35,70,42,0,0,0,74,19,1,14,54,0,179,0,2,23,3,2,90,2,2,1,137,15,16,61,4,5,0,42,6,0,6,2,0,0,0,0,0,3,3,0,2,0,13,2,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
0.03,PIJ71,92,1040,0,0,20,0,5,15,0,6,1,66,39,1,6,14,0,1,13,2,1,6,0,7,31,1,2,0,1,3,116,1,18,0,12,3,0,0,3,0,0,39,15,0,3,0,1,0,0,0,15,6,0,0,1,1,0,2,1,7,3,0,2,3,3,0,1,2,1,0,0,1,1,0,1,0,5,0,0,0,4,1,0,0,2,1,0,0,0,0,0,0,0
0.03,PIJ85,92,0,38,46,6,193,0,0,0,488,110,9,0,78,53,0,0,42,78,0,133,7,0,20,0,4,0,0,0,119,0,26,1,3,2,5,0,33,0,0,0,0,3,0,0,13,2,0,0,0,6,6,4,1,10,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0
0.03,PIJ87,92,0,570,1,12,0,2,37,22,4,47,51,0,12,53,0,0,117,65,0,80,81,0,31,0,13,5,26,0,3,6,0,0,19,28,0,62,51,0,1,49,2,32,1,0,1,1,0,0,0,9,3,0,6,2,0,11,1,0,8,1,1,0,0,0,0,9,3,0,1,0,0,7,0,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
